# x y z  nx ny nz   (pre-displacement Vertex::N = bake ride input)
13.05208 3.94982 -21.71962  -0.480493 0.746729 -0.459916
33.64344 10.12157 -49.87508  0.459910 0.746729 -0.480499
3.32540 2.93765 -0.11849  -0.480497 0.746725 -0.459917
3.81960 2.94180 -0.11953  -0.008895 0.897096 -0.441747
33.64448 10.12571 -49.38088  0.441750 0.897094 -0.008897
13.54628 3.95396 -21.72066  -0.008895 0.897094 -0.441750
3.41110 2.93765 -0.12082  -0.068869 -0.833286 -0.548536
13.13778 3.94982 -21.72194  -0.068872 -0.833286 -0.548536
33.64577 10.12157 -49.78939  0.548547 -0.833279 -0.068867
3.49805 2.93765 -0.11953  0.033431 -0.823081 -0.566939
13.22473 3.94982 -21.72066  0.033428 -0.823079 -0.566942
33.64448 10.12157 -49.70244  0.566955 -0.823070 0.033441
33.78525 10.21266 -49.81837  0.556175 -0.831060 0.003017
3.38212 3.02874 -0.26030  0.003021 -0.831068 -0.556163
13.10880 4.04091 -21.86143  0.003017 -0.831067 -0.556164
33.77537 10.21266 -49.89338  0.496271 -0.857925 -0.132964
13.03378 4.04091 -21.85155  -0.132974 -0.857934 -0.496253
3.30711 3.02874 -0.25043  -0.132971 -0.857934 -0.496254
33.74642 10.21266 -49.96328  0.521604 -0.832424 -0.187080
12.96388 4.04091 -21.82260  -0.187085 -0.832428 -0.521597
3.23721 3.02874 -0.22148  -0.187085 -0.832430 -0.521594
13.18381 4.04091 -21.85155  0.130539 -0.780019 -0.611988
33.77537 10.21266 -49.74336  0.611995 -0.780013 0.130545
3.45713 3.02874 -0.25043  0.130535 -0.780025 -0.611981
33.64368 10.12157 -49.66158  0.642270 -0.756428 0.123715
3.53892 2.93765 -0.11874  0.123712 -0.756432 -0.642266
13.26559 3.94982 -21.71986  0.123715 -0.756425 -0.642274
3.67194 3.02874 0.02952  0.791155 -0.611509 -0.011427
13.39862 4.04091 -21.57161  0.791159 -0.611503 -0.011429
33.49543 10.21266 -49.52855  0.011444 -0.611501 0.791161
33.57044 10.21266 -49.53842  0.207627 -0.596887 0.774995
3.66207 3.02874 -0.04549  0.775005 -0.596863 -0.207660
13.38874 4.04091 -21.64662  0.775007 -0.596859 -0.207663
3.59482 2.93765 -0.03466  0.794678 -0.597921 -0.104772
13.32150 3.94982 -21.63578  0.794681 -0.597917 -0.104776
33.55960 10.12157 -49.60567  0.104774 -0.597928 0.794673
13.32564 3.94982 -21.49915  0.815296 -0.573087 0.082849
3.59896 2.93765 0.10197  0.815294 -0.573091 0.082844
33.42297 10.12157 -49.60152  -0.082826 -0.573082 0.815302
33.42041 10.21266 -49.53842  -0.214347 -0.560295 0.800078
13.38874 4.04091 -21.49659  0.800067 -0.560300 0.214375
